level_0_index;level_0_text;level_1_index;level_1_text;level_2_index;level_2_text;country;name;declared_unit;weight [kg];volume density [kg/m3];area density [kg/m2];linear density [kg/m];penrt_a1a3 [MJ];penrt_c3 [MJ];penrt_c4 [MJ];penrt_d [MJ];gwp_a1a3 [kgCo2e];gwp_c3 [kgCo2e];gwp_c4 [kgCo2e];gwp_d [kgCo2e];declared_amount;UUID
;;;;;;KH;Ready mix concrete with Portland slag cement (25% GGBS);kg;;;;;;;;;0.0887;;;;1;
;;;;;;TH;Ready mix concrete with Portland slag cement (25% GGBS);kg;;;;;;;;;0.0886;;;;1;
;;;;;;ID;Rubber flooring;kg;;;;;;;;;3.4461;;;;1;
;;;;;;VN;Rubber flooring;kg;;;;;;;;;3.3366;;;;1;
;;;;;;KH;Rubber flooring;kg;;;;;;;;;3.2723;;;;1;
;;;;;;TH;Rubber flooring;kg;;;;;;;;;3.17;;;;1;
1;;2;;1;Sand and gravel;ID;Sand;kg;;;;;;;;;0.008;;;;1;
1;;2;;1;Sand and gravel;VN;Sand;kg;;;;;;;;;0.0073;;;;1;
1;;2;;1;Sand and gravel;KH;Sand;kg;;;;;;;;;0.0069;;;;1;
1;;2;;1;Sand and gravel;TH;Sand;kg;;;;;;;;;0.0063;;;;1;
1;;4;;1;Ready mixed concrete;ID;Shotcrete;kg;;;;;;;;;0.2399;;;;1;
1;;4;;1;Ready mixed concrete;VN;Shotcrete;kg;;;;;;;;;0.2399;;;;1;
1;;4;;1;Ready mixed concrete;KH;Shotcrete;kg;;;;;;;;;0.2399;;;;1;
1;;4;;1;Ready mixed concrete;TH;Shotcrete;kg;;;;;;;;;0.2398;;;;1;
;;;;;;ID;u-PVC window frame;kg;;;;;;;;;3.8248;;;;1;
;;;;;;VN;u-PVC window frame;kg;;;;;;;;;3.7713;;;;1;
;;;;;;KH;u-PVC window frame;kg;;;;;;;;;3.74;;;;1;
;;;;;;TH;u-PVC window frame;kg;;;;;;;;;3.69;;;;1;
;;;;;;ID;Vinyl (PVC) flooring;kg;;;;;;;;;2.1;;;;1;
;;;;;;VN;Vinyl (PVC) flooring;kg;;;;;;;;;2.1;;;;1;
;;;;;;KH;Vinyl (PVC) flooring;kg;;;;;;;;;2.1;;;;1;
;;;;;;TH;Vinyl (PVC) flooring;kg;;;;;;;;;2.1;;;;1;
;;;;;;ID;Vitrified ceramic floor tiles;kg;;;;;;;;;0.6442;;;;1;
;;;;;;VN;Vitrified ceramic floor tiles;kg;;;;;;;;;0.6187;;;;1;
;;;;;;KH;Vitrified ceramic floor tiles;kg;;;;;;;;;0.6038;;;;1;
;;;;;;TH;Vitrified ceramic floor tiles;kg;;;;;;;;;0.58;;;;1;
